grouped_id,message,media,replies_msg,post_id,post_datetime,post_views,post_forwards,fwd_from,reactions,post_date,popularity_score,post_month,images,videos
-1," Жители Томска встречают своих героев на въезде в городВоеннослужащих, возвращающихся домой из зоны проведения специальной военной операции, они приветствуют российскими флагами, громкой музыкой и автомобильными сигналами@opersvodki","{'photos': [], 'videos': ['15659_c8d60bd0-44a8-4c68-a737-bb18d34c899f.mp4']}",[],15659,2022-06-10 16:42:47+00:00,312557.0,432.0,"[True, 1647639783]","{'👍': 11575, '❤': 2827, '🔥': 454, '😁': 65, '👎': 41, '😢': 8, '😱': 6}",2022-06-10,0.0479144604024226,6-2022,[],['15659_c8d60bd0-44a8-4c68-a737-bb18d34c899f.mp4']
13014410838672220,Фото прототипа истребителя «Шах и Мат» (с) Владимир Веленгурин,"{'photos': ['13014410838672220_3e8d3e67-e268-4eed-a2aa-f2c832e223ae.jpg', '13014410838672220_b09e09e2-69e6-4c34-b126-06e51e7e15b5.jpg', '13014410838672220_c78158e1-d49a-4dbe-ac19-5ac261afeff8.jpg', '13014410838672220_b11b2f94-7fc4-455d-8d90-27eaf5224dbb.jpg', '13014410838672220_1dfc2cc7-2a34-488e-b797-23f4227a49bc.jpg'], 'videos': []}",[],66721,2021-07-20 17:15:54+00:00,43684.0,73.0,"[True, 1109403194]",,2021-07-20,-1.0,7-2021,"['13014410838672220_3e8d3e67-e268-4eed-a2aa-f2c832e223ae.jpg', '13014410838672220_b09e09e2-69e6-4c34-b126-06e51e7e15b5.jpg', '13014410838672220_c78158e1-d49a-4dbe-ac19-5ac261afeff8.jpg', '13014410838672220_b11b2f94-7fc4-455d-8d90-27eaf5224dbb.jpg', '13014410838672220_1dfc2cc7-2a34-488e-b797-23f4227a49bc.jpg']",[]
-1,"Сводка боевых действий на 4 мая 2022 года от Владислава УгольногоКратко окружение ВСУ в районе Оскола, бои на подступах к Красному Лиману, продвижение на Бахмутке и в районе Авдеевки🎯 Харьковское направление — украинцы перешли в контр-атаку и взяли несколько населенных пунктов Русская Лозовая и Старый Салтов Мост в последнем взорван и развить наступление на Волчанск ВСУ не способны Русские продолжают укреплять свои позиции в районе Казачьей Лопани и Циркунах Также ВСУ пытается форсировать Северский Донец между Балаклеей и Изюмом — в районе села Протопоповка🎯 ПАВЛОГРАДСКАЯ ДУГА🏹 Северный фланг дуги (от Балаклеи до Попасной) — на Изюмском плацдарме продолжаются бои по всей линии фронта, в частности за сёла Великая Комышеваха, Пашково, Долгенькое В районе реки Оскол окружено около тысячи бойцов нацгвардии, обеспечена связь между Изюмом и наступающей восточнее группой Линия фронта лежит на рубеже Сосновое — Шандриголово — Дробышево — Красный Лиман Ямполь освобожден, идут бои за выход к Северскому Донцу Украинская группировка на правом берегу из-за подрыва мостов через реку не имеет возможности организованного отступления В Рубежном продолжается зачистка южной промзоны, сообщается о боях за лежащий между Рубежным и Северодонецком посёлок Воеводовка На Бахмутке продвижение в районе Орехово 🏹 Центральный фронт (от Попасной до Марьинки) — продолжается штурм Попасной в ЛНР В районе Авдеевки НМ ДНР наступает на Троицкое и Новоселовку с целью выхода к Нью-Йорку В Марьинке — без изменений🏹 Южный фланг дуги (от реки Днепр до Марьинки) — продолжаются бои вдоль всей линии фронта По предварительной информации удалось расширить зону контроля западнее Великой Новоселки к селу Темировка🎯 Мариупольский котёл — заработали гуманитарные коридоры из Азовстали, последнего очага сопротивления ВСУ в городе, для освобождения удерживаемых украинскими боевиками гражданских лиц🎯 Херсонско-Николаевское направление — линия фронта без изменения по линии Черное море — Александровка — Снигирёвка — Великая Александровка — Ивановка — река ДнепрПрошлые сводки 16 апреля, 18 апреля, 19 апреля, 20 апреля, 24 апреля, 26 апреляПоддержать русскую армию через ОПСБРайфайзен 4476246135146906 Евгений Григорьевич ПСбер  5336690160214260 Евгений Григорьевич П","{'photos': ['46942_9ba24d08-da58-4698-948b-e67aa85d3750.jpg'], 'videos': []}",[],46942,2022-05-04 21:26:01+00:00,312675.0,253.0,"[True, 1437814721]","{'👍': 2844, '🤔': 441, '🔥': 62, '👎': 54, '❤': 33, '🤬': 30, '💩': 25, '😁': 13, '👏': 12, '🥰': 4, '🤮': 1}",2022-05-04,0.0112544974814104,5-2022,['46942_9ba24d08-da58-4698-948b-e67aa85d3750.jpg'],[]
-1,Официальная карта СВО на Украине на 25032022 от МО РФ,"{'photos': ['36394_be74e868-6fcc-4524-ba28-5feac0354369.jpg'], 'videos': []}",[],36394,2022-03-25 15:24:11+00:00,308735.0,712.0,"[False, -1]","{'👍': 1579, '🤔': 335, '❤': 31, '🔥': 18, '🤮': 13, '😁': 12, '💩': 12, '👎': 9, '🎉': 5, '🥰': 3}",2022-03-25,0.0065331109203686,3-2022,['36394_be74e868-6fcc-4524-ba28-5feac0354369.jpg'],[]
13167998167116090," Владелец телеграмм канала «Американский пехотинец» выложил фото себя в украинской форме на фоне указателя улиц в Одессе Месяц назад он хвастался, что находился на курсах снайперской стрельбы US Army Sniper School Сам он себя позиционирует как «наемника армии США»#Одесса #Украина  @rybar*Проект некоммерческий Реквизиты для помощи 4276 1609 2223 7798","{'photos': ['13167998167116090_eb0030b9-f8c1-4595-96e8-3dd2ea638c1e.jpg', '13167998167116090_7abc514b-47bb-4356-ab85-cc940b0fc3e5.jpg'], 'videos': []}",[],24489,2022-02-27 22:09:30+00:00,147739.0,108.0,"[True, 1326223284]","{'🤬': 1212, '💩': 346, '👍': 234, '🤮': 28, '👎': 18, '🤯': 15, '❤': 9, '😁': 8, '👏': 7, '😢': 4, '🤔': 3}",2022-02-27,0.0127522184392746,2-2022,"['13167998167116090_eb0030b9-f8c1-4595-96e8-3dd2ea638c1e.jpg', '13167998167116090_7abc514b-47bb-4356-ab85-cc940b0fc3e5.jpg']",[]
-1,"‍☠На востоке и юге начнется новая волна войны, будут самые сложные битвы и не факт, что мы выстоим, – Зеленский""Мы не знаем, какое количество техники будет, и понимаем, что будет в разы больше, чем сейчас Мы видим скопление военных, техники у востока и юга нашего государства Мы понимаем почти все коридоры, куда пойдет враг Мы понимаем, что он собирается сделать, и понимаем, что от скорости того, как нам будут помогать, и прежде всего, кстати, США, от той скорости, как они смогут нам передать оружие, честно скажу вам, зависит, выстоим мы или нет"", – заявил Президент Украины каналу CBS tmeRVvoenkor","{'photos': [], 'videos': []}",[],7593,2022-04-11 12:49:49+00:00,354030.0,1003.0,"[False, -1]","{'😁': 7109, '👍': 613, '👎': 563, '🔥': 159, '😱': 68, '😢': 45, '❤': 1}",2022-04-11,0.0241730926757619,4-2022,[],[]
-1,Бурные аплодисменты,"{'photos': [], 'videos': ['65687_3922f57b-9dc1-4f97-bce3-9cf44ab0cacf.mp4']}",[],65687,2022-09-30 13:35:49+00:00,398425.0,139.0,"[False, -1]","{'👍': 6776, '❤': 1384, '❤\u200d🔥': 398, '👏': 218, '🤣': 110, '🔥': 108, '🥱': 53, '🤬': 40, '🐳': 24, '😁': 22, '🌚': 10}",2022-09-30,0.0229478571876764,9-2022,[],['65687_3922f57b-9dc1-4f97-bce3-9cf44ab0cacf.mp4']
-1,"И еще немного результатов зачистки Углегорской ТЭС бойцами ЧВК ""Вагнер"" 18+httpstmevladlentatarsky15172","{'photos': ['58400_41a16691-bd3a-4939-8ff9-d045dbbdfb29.jpg'], 'videos': []}",[],58400,2022-07-26 17:43:10+00:00,295393.0,222.0,"[False, -1]","{'👍': 4300, '🔥': 733, '😢': 229, '👏': 147, '😱': 70, '❤': 45, '😁': 40, '🥰': 21, '🤬': 17, '🤔': 12}",2022-07-26,0.0190051896964383,7-2022,['58400_41a16691-bd3a-4939-8ff9-d045dbbdfb29.jpg'],[]
-1,"Мариуполь Где-то в районе комбината им Ильича😊Танкисты отжали ""ворожый"" БТР👍Снимал всё, без цензуры Получился интересный разговорВ БТРе нашли много интересного🧐Благодаря и этим ребятам был ликвидирован прорыв автоколонны с азовцами с завода им ИльичаНастоящее танковое братство!PS Перезаливаю пост Был косяк😢","{'photos': [], 'videos': ['8001_ad36641b-a3ad-4bc9-b807-36e1ccb9ab91.mp4']}",[],8001,2022-04-14 15:40:28+00:00,307871.0,471.0,"[True, 1397773630]","{'❤': 3653, '👍': 1223, '🔥': 95, '👎': 54, '😁': 42, '😢': 6, '😱': 5}",2022-04-14,0.016493921155289,4-2022,[],['8001_ad36641b-a3ad-4bc9-b807-36e1ccb9ab91.mp4']
-1,"«Стычки с полицией переросли в погромы, манифестанты сооружают баррикады, поджигают стоящие на улицах мотоциклы и грабят магазины» В Испании уличные протесты продолжаются уже неделю","{'photos': [], 'videos': ['50333_f83db6ef-46ba-44a7-832f-6a3743ce0e61.mp4']}",[],50333,2021-02-21 05:10:45+00:00,62360.0,75.0,"[True, 1069772626]",,2021-02-21,-1.0,2-2021,[],['50333_f83db6ef-46ba-44a7-832f-6a3743ce0e61.mp4']
